Key,English,Français,Allemand,Espagnol,Chinois,Japonais,Portuguais,Russe
MainMenu.Button.level1,Orcish Warlord,Orcish Warlord,Orcish Warlord,Orcish Warlord,Orcish Warlord,Orcish Warlord,Orcish Warlord,Orcish Warlord
MainMenu.Button.level2,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat,Worcestershire Cat
MainMenu.Button.level3,Kraqueen,Kraqueen,Kraqueen,Kraqueen,Kraqueen,Kraqueen,Kraqueen,Kraqueen
MainMenu.Button.level4,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard,Chad’O’Wizard
MainMenu.Button.level5,Infinite Level,Niveau Infini,Unendliches Level,Nivel Infinito, 无限水平,無限レベル ,Nível Infinito,Бесконечный уровень
MainMenu.Button.hardMode,Hard Mode,Mode Difficile,Schwieriger Modus,Modo Difícil, 困难模式 ,ハードモード,Modo Difícil,Режим Сложности
MainMenu.Button.easyMode,Easy Mode,Mode Facile,Einfacher Modus,"Modo Fácil",简单模式,イージーモード,Modo Fácil,Легкий режим
OptionMenu.Button.Sfx,Sfx,Effets Sonores,Soundeffekte,Efectos de sonido,聲音特效,音響効果,Efeitos sonoros,Звуковые эффекты
OptionMenu.Button.Music,Music,Musique,Musik,Música,音樂,音楽,Música,Музыка
OptionMenu.Button.Pause,Pause,Pause,Brechen,Romper,休息,壊す,Quebrar,Переры
OptionMenu.Button.Account,Account,Compte,Konto,Cuenta,账户 ,アカウント ,Conta,Счет
OptionMenu.Button.HowToPlay,How to Play,Comment Jouer,Wie spielt man,Cómo jugar,如何玩,遊び方 ,Como Jogar, Как играть
OptionMenu.Button.LeaderBoard,Leaderboard,Classement,Bestenliste,Tabla de líderes,排行榜 ,リーダーボード,Tabela de líderes,Таблица лидеров
OptionMenu.Button.Credits,Credits,Crédits,Credits,Créditos,积分 ,クレジット ,Créditos,Кредиты 
PauseMenu.EndGame.text,Finish,Fini,,,,,,
Hud.Button.EndTurn,End Turn,Fin de Tour,"Ende der Runde","fin de turno",回合結束,ターン終了時,Fim do turno,Конец хода
HowToPlayMenu.Window1,"Each round begins by your own turn, where you free to pick spells to use on your allies. Each spell has an assigned mana cost you must pay.
Once you've finished your actions, you can press the end turn button at the bottom right of your interface.","Chaque round débute par votre tour de jeu, où vous pouvez utiliser vos différents sorts sur vos alliés. Chaque icône comprend également le coût du sort.
Une fois vos actions terminées, vous pourrez presser le bouton de fin de tour à la droite de votre interface.","Zuerst beginnt die Runde mit deinem Zug. Nachdem du deine Zauber gewirkt und den ""Zug beenden""-Button gedrückt hast, wird der Boss als Erstes angreifen (es sei denn, du hast den Zauber ""Initiative"" gewirkt). Dann werden deine Verbündeten angreifen.","Primero, la ronda comienza jugando tu turno. Después de haber lanzado tus hechizos y presionado el botón ""Terminar turno"", el jefe atacará primero (a menos que hayas lanzado el hechizo de ""iniciativa""). Luego, tus aliados atacarán.",首先，回合开始时轮到你行动。在你施放了法术并按下“结束回合”按钮后，首先是boss会进行攻击（除非你施放了“先发制人”法术）。然后你的盟友会进行攻击。,"最初に、ラウンドが始まります。あなたのターンで呪文を唱え、""ターン終了""ボタンを押した後、ボスが最初に攻撃します（ただし、""先制""呪文を唱えた場合を除く）。その後、仲間が攻撃します。","Primeiro, a rodada começa com o seu turno. Depois de lançar seus feitiços e pressionar o botão ""Fim de Turno"", o chefe atacará primeiro (a menos que você tenha lançado o feitiço de ""iniciativa""). Em seguida, seus aliados atacarão.","Сначала раунд начинается с вашего хода. После того, как вы произнесли свои заклинания и нажали кнопку ""Конец хода"", босс атакует первым (если вы не произнесли заклинание ""инициатива""). Затем атакуют ваши союзники."
